num_steps	price_mean	run_time	rel_err	std_err
10	7.48813538511334	0.09214283227920532	0.000407181768081922	0.0053943770293605415
15	7.473951696869834	0.1589940905570984	0.0014877443854932168	0.007018757101928645
20	7.478994621857436	0.21468807458877565	0.0008140147965832787	0.007974001953854615
25	7.495487738252808	0.4175619602203369	0.0013894485815588095	0.008545871508564683
30	7.487768538010296	0.5012573599815369	0.0003581713726200721	0.008712591179144625
35	7.466287779124928	0.5997548699378967	0.002511635909640449	0.007730259981030883
40	7.484374912797788	0.6526476979255676	9.52134635530485e-05	0.00712094593816447
45	7.484717987470676	0.7575176119804382	4.937904029707703e-05	0.006725181631762019
50	7.499357804336749	0.7927857279777527	0.001906485427872864	0.006345576514824752
55	7.484195695807711	0.7295677661895752	0.0001191566690037589	0.007067990030237552
60	7.4828454380614104	0.44281768798828125	0.00029954971442361334	0.005795763650136909
65	7.475244922565368	0.5079370379447937	0.0013149707633667972	0.0073561051262952
70	7.474768180141562	0.6483569264411926	0.0013786630605943716	0.007481212000957226
75	7.479859335082854	0.678484833240509	0.0006984899995025469	0.008855086797095964
80	7.47921766427184	0.6999781608581543	0.0007842165595411482	0.007459604679340093
85	7.481843017374112	0.7662415623664856	0.00043347208670330373	0.008403200208975252
90	7.481479471013363	0.7540760159492492	0.0004820415063912318	0.008136335208943166
95	7.490121338727901	0.8270925760269165	0.0006725031273371049	0.009024592269311838
100	7.490134816066819	0.8781775832176208	0.0006743036859476317	0.007038389729240484
105	7.4840653338493155	0.9324265480041504	0.00013657289249608507	0.008408225910342062
110	7.498530823978555	0.9268460035324096	0.0017960017030242345	0.008019918611023448
115	7.487161094264652	0.9149967193603515	0.00027701751329339304	0.009470041525510321
120	7.449109913738953	0.9712255835533142	0.004806581048284504	0.010620315076585507
125	7.47414869366852	1.0308303952217102	0.0014614258159087628	0.008594144032739445
130	7.469336896447805	1.082942271232605	0.0021042769730052584	0.010418824930623157
135	7.482551408488787	1.1054229378700255	0.0003388317627543269	0.010984885493304439
140	7.4675995874777765	1.1456019878387451	0.0023363796636192537	0.010156214084855977
145	7.486262019575696	1.1632560610771179	0.00015690206004377678	0.008045313268785312
150	7.458085752735049	1.200682532787323	0.0036074181950139705	0.011641550478222488
155	7.4766342746715875	1.2484143018722533	0.0011293547516918912	0.00721929522082024
160	7.477102528762496	1.278459084033966	0.0010667964870044197	0.009071095098368011
165	7.4808006157007565	1.4978930830955506	0.0005727358775777955	0.011100787101102018
170	7.453681226714181	1.5436864733695983	0.004195858338914209	0.009727747005872128
175	7.480334113458589	1.5511377215385438	0.0006350600970761295	0.010321507282411019
180	7.455494976304658	1.5688920378684998	0.0039535432600696875	0.010570023690068453
185	7.46192901578664	1.56561359167099	0.0030939622062401578	0.008616454247451572
190	7.4690165882211215	1.6795734763145447	0.002147069822476266	0.007321838663759707
195	7.435527009054849	1.6260958313941956	0.006621243136561284	0.012845288059024615
200	7.484264755106293	1.6256892561912537	0.0001099304177788456	0.008413248258347376
